,GPU Utilization (%),Power Draw (Watts),GPU Temp (°C),GPU Current Clock (GHz),Memory Current Clock (GHz),Memory Allocation Used (MB),Memory Utilization (%),GPU Stress,Current Time,Time Delta,Status,Iteration,Collect,GPU Clock Utilization,Memory Clock Utilization
178,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:48:43,243,Live,179,True,0.09782608695652174,1.0
179,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:48:44,244,Live,180,True,0.09782608695652174,1.0
180,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:48:45,246,Live,181,True,0.09782608695652174,1.0
181,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:48:46,247,Live,182,True,0.09782608695652174,1.0
182,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:48:48,248,Live,183,True,0.09782608695652174,1.0
183,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:48:49,249,Live,184,True,0.09782608695652174,1.0
184,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:48:50,251,Live,185,True,0.09782608695652174,1.0
185,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:48:51,252,Live,186,True,0.09782608695652174,1.0
186,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:48:53,253,Live,187,True,0.09782608695652174,1.0
187,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:48:54,254,Live,188,True,0.09782608695652174,1.0
188,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:48:56,256,Live,189,True,0.09782608695652174,1.0
189,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:48:57,258,Live,190,True,0.09782608695652174,1.0
190,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:48:59,259,Live,191,True,0.09782608695652174,1.0
191,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:49:00,261,Live,192,True,0.09782608695652174,1.0
192,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:49:02,262,Live,193,True,0.09782608695652174,1.0
193,0.0,24.17,23.0,135000.0,877000.0,5242880.0,0.0,Off,10:49:03,263,Live,194,True,0.09782608695652174,1.0
194,0.0,24.17,24.0,135000.0,877000.0,5242880.0,0.0,Off,10:49:04,265,Live,195,True,0.09782608695652174,1.0
195,0.0,24.17,24.0,135000.0,877000.0,5242880.0,0.0,Off,10:49:06,266,Live,196,True,0.09782608695652174,1.0
196,0.0,24.17,24.0,135000.0,877000.0,5242880.0,0.0,Off,10:49:07,267,Live,197,True,0.09782608695652174,1.0
197,0.0,24.17,24.0,135000.0,877000.0,5242880.0,0.0,Off,10:49:08,269,Live,198,True,0.09782608695652174,1.0
198,0.0,24.17,24.0,135000.0,877000.0,5242880.0,0.0,Off,10:49:10,270,Live,199,True,0.09782608695652174,1.0
199,0.0,24.17,24.0,135000.0,877000.0,5242880.0,0.0,Off,10:49:11,271,Live,200,True,0.09782608695652174,1.0
200,0.0,24.17,24.0,135000.0,877000.0,5242880.0,0.0,Off,10:49:12,273,Live,201,True,0.09782608695652174,1.0
201,0.0,24.17,24.0,135000.0,877000.0,5242880.0,0.0,Off,10:49:14,274,Live,202,True,0.09782608695652174,1.0
202,0.0,24.17,24.0,135000.0,877000.0,5242880.0,0.0,Off,10:49:15,275,Live,203,True,0.09782608695652174,1.0
203,0.0,24.17,24.0,135000.0,877000.0,5242880.0,0.0,Off,10:49:16,277,Live,204,True,0.09782608695652174,1.0
204,0.0,24.17,24.0,135000.0,877000.0,5242880.0,0.0,Off,10:49:18,278,Live,205,True,0.09782608695652174,1.0
