,0,1,2,3,4,5,6,7,8,9
20,3.666929615519508e-19,7.849040206651507e-17,1.9919123837389915e-17,6.247361567181383e-10,3.019554440172184e-09,2.5804319516618754e-19,-1.0,1.1390117176107505e-16,4.979780959347479e-18,4.527073599406799e-19
21,3.6669296186182595e-19,7.849040213284368e-17,1.9919123854222644e-17,6.247361572460738e-10,3.0195544427238697e-09,2.5804319538424793e-19,-1.0,1.146355637974076e-16,4.527073603232419e-18,4.527073603232419e-19
22,3.6669296243264886e-19,7.849040225502797e-17,1.9919123885230304e-17,6.247361582185867e-10,3.0195544474243434e-09,2.5804319578593803e-19,-1.0,1.161790048617021e-16,6.33790305439146e-18,4.527073610279614e-19
23,3.6669296339204783e-19,8.155836543045695e-17,1.991912393734581e-17,6.247361598531186e-10,3.019554455324571e-09,2.5421259570388884e-19,-1.0,1.188182707591327e-16,6.076725746620356e-18,4.527073622124047e-19
24,3.6669296472646956e-19,8.646710649722926e-17,1.9919124009832918e-17,6.247361621265779e-10,3.0195544663129444e-09,2.4898905012291157e-19,-1.0,1.2243993010239956e-16,8.891636941452224e-18,4.527073638598391e-19
25,3.7008827174038174e-19,8.521763458398707e-17,1.9919124105904334e-17,6.247361651397269e-10,3.0195544808764802e-09,2.524714156779833e-19,-1.0,1.272717112343599e-16,1.177039151712529e-17,4.527073660432804e-19
26,3.743835400649744e-19,8.516494659520581e-17,1.991912424704671e-17,6.247361695664651e-10,3.0195545022723555e-09,2.5351612678059457e-19,-1.0,1.3434500255449275e-16,1.8708268391941462e-17,4.527073692510616e-19
27,3.7183388604974456e-19,8.630328948467621e-17,1.9919124395070916e-17,6.247361742090424e-10,3.0195545247114523e-09,2.53516128664539e-19,-1.0,1.4179715671067433e-16,1.334335798267655e-17,4.527073726152481e-19
28,3.7166716682006736e-19,8.452627966200487e-17,2.0260052326657805e-17,6.247361790548439e-10,3.019554548132798e-09,2.530131224352548e-19,-1.0,1.4954992556047157e-16,1.82703754636812e-17,4.527073761266985e-19
29,3.732056100097523e-19,8.633868358081114e-17,1.9847644592772313e-17,6.247361839405643e-10,3.0195545717470843e-09,2.489890588168915e-19,-1.0,1.5737538119479127e-16,1.0324905150301724e-17,4.527073796670756e-19
30,3.576388314665729e-19,8.794746302406471e-17,1.9466417408940044e-17,6.247361866124944e-10,3.0195545846613978e-09,2.489890598817913e-19,-1.0,1.6161653523236269e-16,1.1317684540081421e-18,4.527073816032569e-19
31,3.576388316824473e-19,8.794746307715067e-17,1.9466417420690168e-17,6.247361869895914e-10,3.019554586484031e-09,2.489890600320835e-19,-1.0,1.6222014517241805e-16,1.433573375942299e-18,4.527073818765155e-19
32,3.5763883193609957e-19,8.794746313952666e-17,1.946641743449656e-17,6.247361874326802e-10,3.0195545886256245e-09,2.4898906020867692e-19,-1.0,1.6297465759113398e-16,3.1689516753831607e-18,4.527073821975944e-19
33,3.5763883224140757e-19,8.794746321460537e-17,1.9466417451114588e-17,6.24736187966003e-10,3.0195545912033484e-09,2.4898906042123305e-19,-1.0,1.638154000122035e-16,5.885195973592782e-18,4.527073825840602e-19
34,3.5763883284277173e-19,8.794746336248769e-17,1.946641748384707e-17,6.247361890164874e-10,3.019554596280683e-09,2.4898906083990436e-19,-1.0,1.6549688485436762e-16,3.492314100092166e-18,4.527073833452807e-19
35,3.757471287719452e-19,8.318045474765929e-17,1.991912489875372e-17,6.247361900063666e-10,3.0195546010650937e-09,2.489890612344215e-19,-1.0,1.6704902471909368e-16,3.848012764531968e-18,4.527073840625846e-19
36,3.7574712936730746e-19,8.31804548794567e-17,1.9919124930315093e-17,6.24736190996246e-10,3.019554605849505e-09,2.489890616289387e-19,-1.0,1.687089520613051e-16,5.6588423097486054e-18,4.527073847798884e-19
37,3.7574713013777626e-19,8.318045505001808e-17,1.9919124971159223e-17,6.247361922772665e-10,3.0195546120410963e-09,2.489890621394903e-19,-1.0,1.7072394410441412e-16,1.0785087718341558e-17,4.527073857081641e-19
