,GPU Util,Power Draw,GPU Clock,Mem Used,Response Time
172,3.2594796327577107e-19,1.121894781375022e-16,6.247335962785611e-10,3.083151345765774e-09,5424969022
173,3.259479640873425e-19,1.121894784168406e-16,6.24733597834073e-10,3.0831513534424532e-09,5208336849
174,3.3335587323871657e-19,1.108153117233044e-16,6.302895306976473e-10,3.083151361550547e-09,5857559386
175,3.3500207597527003e-19,1.105099415761124e-16,6.315241837641915e-10,3.0831513697728402e-09,5147762425
176,3.3751710742115537e-19,1.104732224060785e-16,6.315241853461408e-10,3.083151377496043e-09,4597957648
177,3.5763735290090586e-19,1.1017946702407908e-16,6.315241864515994e-10,3.08315138289298e-09,2749486000
178,3.5763735353413207e-19,1.1017946721916082e-16,6.315241875697646e-10,3.0831513883519516e-09,4469663487
179,3.5763735416376017e-19,1.1017946741313411e-16,6.315241886815764e-10,3.083151393779905e-09,2637273250
180,3.5582653290667614e-19,1.1454173797699181e-16,6.2812889873793e-10,3.0831514006191274e-09,5671022002
181,3.5311030079163573e-19,1.2108514378556259e-16,6.247336090928937e-10,3.083151409006373e-09,5730545105
182,3.5311030173332683e-19,1.2108514410847814e-16,6.247336107589627e-10,3.083151417228667e-09,5615111405
183,1.8007619420346777e-19,1.173749711977559e-16,6.247336122924775e-10,3.0831514247967862e-09,4922382666
184,1.584469310487655e-19,1.169111998381248e-16,6.247336138494181e-10,3.083151432480514e-09,5825693623
185,2.4144294328166755e-19,1.131858110282536e-16,6.247336157413148e-10,3.0831514418173e-09,6236918649
186,3.576373608288248e-19,1.0797026652870218e-16,6.247336176503522e-10,3.0831514512386783e-09,6267342636
187,3.5763736184686017e-19,1.0797026683604574e-16,6.253509451395901e-10,3.083151460015045e-09,5739116998
188,3.485832523815366e-19,1.1502794623068138e-16,6.315242039899268e-10,3.083151468516491e-09,5870183465
189,3.485832532948961e-19,1.1502794653207811e-16,6.315242056446495e-10,3.083151476594979e-09,5556134075
190,3.4858325422419555e-19,1.1114222441610583e-16,6.315242073282503e-10,3.0831514848144526e-09,5374276688
191,3.485832550006991e-19,1.0803364671865817e-16,6.315242087350328e-10,3.083151491682476e-09,4119087246
192,3.485832556770089e-19,1.0803364692826151e-16,6.315242099602952e-10,3.0831514976643047e-09,4260569463
193,3.485832564334735e-19,1.1108790045717135e-16,6.292606836915951e-10,3.083151504355089e-09,4693580487
194,3.48583257330893e-19,1.1719640734782027e-16,6.247336300216006e-10,3.0831515122925914e-09,6089833513
195,3.4858325834467423e-19,1.171964076886614e-16,6.24733631838507e-10,3.0831515212592892e-09,5996494470
196,1.07894818380626e-19,1.1269387427090554e-16,6.309583347608287e-10,3.083151530448042e-09,6470232766
197,8.601405126225511e-20,1.1228455333987964e-16,6.31524218478136e-10,3.0831515392490833e-09,5477964032
198,2.31885834746196e-19,1.1200538523775478e-16,6.277516741068385e-10,3.0831515477787253e-09,5221915148
199,3.485832621846098e-19,1.1178205077743355e-16,6.247336387204694e-10,3.083151555222777e-09,4808996039
200,3.485832630420201e-19,1.117820510523839e-16,6.24733640257127e-10,3.0831515628064062e-09,5272673826
201,3.3813621316362463e-19,1.111614965487263e-16,6.247336420345441e-10,3.083151571578219e-09,6783670723
202,3.3500209894376745e-19,1.110486687444678e-16,6.24733643976215e-10,3.0831515811606474e-09,6163874842
203,3.350020995883109e-19,1.1104866895812524e-16,6.247336451782015e-10,3.083151587092626e-09,1924100024
204,1.048767835562827e-19,1.1158437064847954e-16,6.247336459323893e-10,3.083151590814652e-09,2789644964
205,5.885172036351063e-20,1.1169151113911803e-16,6.247336469357281e-10,3.083151595766276e-09,3673275899
206,5.885172048361333e-20,1.1169151136705446e-16,6.247336482106645e-10,3.083151602058273e-09,4552504303
207,1.5391988469015985e-19,1.120763113315967e-16,6.269971773407981e-10,3.083151609037072e-09,4846636498
208,3.440562136156087e-19,1.1284591101047735e-16,6.315242342023344e-10,3.0831516160158716e-09,4646541564
209,3.4405621443765513e-19,1.1284591128009775e-16,6.31524235711222e-10,3.083151623382382e-09,4997477449
210,3.414154330688818e-19,1.152305380704139e-16,6.315242375218873e-10,3.083151632222193e-09,6352501725
211,3.3952916096990673e-19,1.169338430380359e-16,6.315242394040265e-10,3.0831516414109463e-09,6066051030
212,3.407638134518767e-19,1.140324123565773e-16,6.315242412341846e-10,3.083151650345924e-09,5803266857
213,3.4405621842359667e-19,1.0629526327086912e-16,6.315242430275229e-10,3.0831516591011446e-09,5907723835
214,3.4405621934397404e-19,1.0629526355521724e-16,6.315242447168996e-10,3.083151667348816e-09,5268061175
215,3.4066092863102573e-19,1.1531919453370098e-16,6.371830658447425e-10,3.083151675723376e-09,6046743665
216,3.395291657266644e-19,1.1712398100907019e-16,6.38314831566129e-10,3.083151684605484e-09,5776690199
217,3.4247175314534504e-19,1.1440797447556928e-16,6.294870756756142e-10,3.083151696450411e-09,10230437502
218,3.440562240834115e-19,1.129455096665399e-16,6.247336700461946e-10,3.0831517098197967e-09,7877331608
219,3.531103362939772e-19,1.0664837567196811e-16,6.179430885144601e-10,3.083151718991933e-09,4899286992
220,3.5311033719497815e-19,1.0664837594409354e-16,6.179430900912116e-10,3.083151726858944e-09,5668826717
221,3.474515186764976e-19,1.119676665983819e-16,6.213383835615541e-10,3.083151735624739e-09,6191255571
222,3.3952917217037043e-19,1.1728695723453276e-16,6.247336767934815e-10,3.0831517431186413e-09,3777937697
223,3.395291728565613e-19,1.1728695747157052e-16,6.247336780560728e-10,3.083151749349712e-09,4385145555
224,3.4196681909626014e-19,1.132575300154114e-16,6.247336796931676e-10,3.0831517574290143e-09,6603957500
225,3.4405623053616703e-19,1.0980373515335177e-16,6.247336817630403e-10,3.083151767644137e-09,7474638062
226,3.455652500868989e-19,1.117156619844249e-16,6.224701557242174e-10,3.08315177652826e-09,4732842374
227,3.4858328795952185e-19,1.1553951526367426e-16,6.179431013827886e-10,3.083151783196891e-09,4222884429
228,3.485832889176272e-19,1.155395155812426e-16,6.179431030812483e-10,3.083151791671148e-09,7232557109
229,3.367735799355084e-19,1.1621326009803764e-16,6.303433020125457e-10,3.083151805771792e-09,12186803281
230,3.350021246117684e-19,1.1637023127307856e-16,6.323730984014377e-10,3.083151817393011e-09,4074653428
231,3.3500212527526924e-19,1.170198640032491e-16,6.383148603217966e-10,3.083151823499461e-09,4103487888
232,3.3500212595772723e-19,1.1701986424163907e-16,6.383148616221559e-10,3.083151829780381e-09,3924189010
