Prompt,GPU Util,Power Draw,GPU Temp,GPU Clock,Mem Clock,Mem Used,Mem Util,Time,Time Delta,Iter
Prompt 6,0.8200000000000001,180.32,39.0,1380000000.0,877000000.0,6667894784.0,0.55,-2208932712000000000,38,103
Prompt 6,0.8200000000000001,180.32,39.0,1380000000.0,877000000.0,6667894784.0,0.55,-2208932712000000000,38,104
Prompt 6,0.8200000000000001,180.32,39.0,1380000000.0,877000000.0,6667894784.0,0.55,-2208932712000000000,39,105
Prompt 6,0.8200000000000001,180.32,39.0,1380000000.0,877000000.0,6667894784.0,0.55,-2208932712000000000,39,106
Prompt 6,0.8200000000000001,180.32,39.0,1380000000.0,877000000.0,6667894784.0,0.55,-2208932711000000000,39,107
Prompt 6,0.8200000000000001,180.32,39.0,1380000000.0,877000000.0,6667894784.0,0.55,-2208932711000000000,39,108
Prompt 6,0.8200000000000001,180.32,39.0,1380000000.0,877000000.0,6667894784.0,0.55,-2208932711000000000,40,109
Prompt 6,0.8200000000000001,180.32,39.0,1380000000.0,877000000.0,6667894784.0,0.55,-2208932711000000000,40,110
Prompt 6,0.8200000000000001,180.32,39.0,1380000000.0,877000000.0,6667894784.0,0.55,-2208932711000000000,40,111
Prompt 6,0.8200000000000001,180.32,39.0,1380000000.0,877000000.0,6667894784.0,0.55,-2208932710000000000,40,112
Prompt 6,0.8200000000000001,180.32,39.0,1380000000.0,877000000.0,6667894784.0,0.55,-2208932710000000000,40,113
Prompt 6,0.8200000000000001,180.32,39.0,1380000000.0,877000000.0,6667894784.0,0.55,-2208932710000000000,41,114
Prompt 6,0.8200000000000001,180.32,39.0,1380000000.0,877000000.0,6667894784.0,0.55,-2208932710000000000,41,115
Prompt 6,0.8200000000000001,180.32,39.0,1380000000.0,877000000.0,6667894784.0,0.55,-2208932709000000000,41,116
Prompt 6,0.8200000000000001,180.32,39.0,1380000000.0,877000000.0,6667894784.0,0.55,-2208932709000000000,41,117
Prompt 6,0.8200000000000001,180.32,39.0,1380000000.0,877000000.0,6667894784.0,0.55,-2208932709000000000,42,118
Prompt 6,0.8200000000000001,180.32,39.0,1380000000.0,877000000.0,6667894784.0,0.55,-2208932709000000000,42,119
Prompt 6,0.8200000000000001,180.32,39.0,1380000000.0,877000000.0,6667894784.0,0.55,-2208932709000000000,42,120
Prompt 6,0.8200000000000001,180.32,39.0,1380000000.0,877000000.0,6667894784.0,0.55,-2208932708000000000,42,121
Prompt 6,0.8200000000000001,180.32,39.0,1380000000.0,877000000.0,6667894784.0,0.55,-2208932708000000000,43,122
Prompt 6,0.8200000000000001,180.32,39.0,1380000000.0,877000000.0,6667894784.0,0.55,-2208932708000000000,43,123
Prompt 6,0.8200000000000001,180.32,39.0,1380000000.0,877000000.0,6667894784.0,0.55,-2208932708000000000,43,124
Prompt 6,0.8200000000000001,180.32,39.0,1380000000.0,877000000.0,6667894784.0,0.55,-2208932707000000000,43,125
Prompt 6,0.8200000000000001,180.32,39.0,1380000000.0,877000000.0,6667894784.0,0.55,-2208932707000000000,43,126
Prompt 6,0.8200000000000001,180.32,39.0,1380000000.0,877000000.0,6667894784.0,0.55,-2208932707000000000,44,127
Prompt 6,0.8200000000000001,180.32,39.0,1380000000.0,877000000.0,6667894784.0,0.55,-2208932707000000000,44,128
Prompt 6,0.8200000000000001,180.32,39.0,1380000000.0,877000000.0,6667894784.0,0.55,-2208932706000000000,44,129
Prompt 6,0.8200000000000001,180.32,39.0,1380000000.0,877000000.0,6667894784.0,0.55,-2208932706000000000,44,130
Prompt 6,0.8200000000000001,180.32,39.0,1380000000.0,877000000.0,6667894784.0,0.55,-2208932706000000000,45,131
Prompt 6,0.8200000000000001,180.32,39.0,1380000000.0,877000000.0,6667894784.0,0.55,-2208932706000000000,45,132
Prompt 6,0.8200000000000001,180.32,39.0,1380000000.0,877000000.0,6667894784.0,0.55,-2208932706000000000,45,133
Prompt 6,0.8200000000000001,180.32,39.0,1380000000.0,877000000.0,6667894784.0,0.55,-2208932705000000000,45,134
Prompt 6,0.8200000000000001,180.32,39.0,1380000000.0,877000000.0,6667894784.0,0.55,-2208932705000000000,45,135
Prompt 6,0.8200000000000001,180.32,39.0,1380000000.0,877000000.0,6667894784.0,0.55,-2208932705000000000,46,136
Prompt 6,0.8200000000000001,180.32,39.0,1380000000.0,877000000.0,6667894784.0,0.55,-2208932705000000000,46,137
Prompt 6,0.8200000000000001,180.32,39.0,1380000000.0,877000000.0,6667894784.0,0.55,-2208932705000000000,46,138
Prompt 6,0.8200000000000001,180.32,39.0,1380000000.0,877000000.0,6667894784.0,0.55,-2208932704000000000,46,139
Prompt 6,0.8200000000000001,180.32,39.0,1380000000.0,877000000.0,6667894784.0,0.55,-2208932704000000000,46,140
Prompt 6,0.8200000000000001,180.32,39.0,1380000000.0,877000000.0,6667894784.0,0.55,-2208932704000000000,47,141
Prompt 6,0.8200000000000001,180.32,39.0,1380000000.0,877000000.0,6667894784.0,0.55,-2208932704000000000,47,142
Prompt 6,0.8200000000000001,180.32,39.0,1380000000.0,877000000.0,6667894784.0,0.55,-2208932704000000000,47,143
Prompt 6,0.8200000000000001,180.32,39.0,1380000000.0,877000000.0,6667894784.0,0.55,-2208932703000000000,47,144
Prompt 6,0.8200000000000001,180.32,39.0,1380000000.0,877000000.0,6667894784.0,0.55,-2208932703000000000,47,145
Prompt 6,0.8200000000000001,180.32,39.0,1380000000.0,877000000.0,6667894784.0,0.55,-2208932703000000000,48,146
Prompt 6,0.8200000000000001,180.32,39.0,1380000000.0,877000000.0,6667894784.0,0.55,-2208932703000000000,48,147
Prompt 6,0.8200000000000001,180.32,39.0,1380000000.0,877000000.0,6667894784.0,0.55,-2208932702000000000,48,148
Prompt 6,0.8200000000000001,180.32,39.0,1380000000.0,877000000.0,6667894784.0,0.55,-2208932702000000000,48,149
Prompt 6,0.8200000000000001,180.32,39.0,1380000000.0,877000000.0,6667894784.0,0.55,-2208932702000000000,49,150
Prompt 6,0.8200000000000001,180.32,39.0,1380000000.0,877000000.0,6667894784.0,0.55,-2208932702000000000,49,151
Prompt 6,0.8200000000000001,180.32,39.0,1380000000.0,877000000.0,6667894784.0,0.55,-2208932702000000000,49,152
Prompt 6,0.8200000000000001,180.32,39.0,1380000000.0,877000000.0,6667894784.0,0.55,-2208932701000000000,49,153
Prompt 6,0.8200000000000001,180.32,39.0,1380000000.0,877000000.0,6667894784.0,0.55,-2208932701000000000,49,154
Prompt 6,0.8200000000000001,180.32,39.0,1380000000.0,877000000.0,6667894784.0,0.55,-2208932701000000000,50,155
Prompt 6,0.8200000000000001,180.32,39.0,1380000000.0,877000000.0,6667894784.0,0.55,-2208932701000000000,50,156
Prompt 6,0.8200000000000001,180.32,39.0,1380000000.0,877000000.0,6667894784.0,0.55,-2208932701000000000,50,157
Prompt 6,0.8200000000000001,180.32,39.0,1380000000.0,877000000.0,6667894784.0,0.55,-2208932700000000000,50,158
Prompt 6,0.8200000000000001,180.32,39.0,1380000000.0,877000000.0,6667894784.0,0.55,-2208932700000000000,50,159
Prompt 6,0.8200000000000001,180.32,39.0,1380000000.0,877000000.0,6667894784.0,0.55,-2208932700000000000,51,160
Prompt 6,0.8200000000000001,180.32,39.0,1380000000.0,877000000.0,6667894784.0,0.55,-2208932700000000000,51,161
Prompt 6,0.8200000000000001,180.32,39.0,1380000000.0,877000000.0,6667894784.0,0.55,-2208932700000000000,51,162
Prompt 6,0.8200000000000001,180.32,39.0,1380000000.0,877000000.0,6667894784.0,0.55,-2208932699000000000,51,163
Prompt 6,0.8200000000000001,180.32,39.0,1380000000.0,877000000.0,6667894784.0,0.55,-2208932699000000000,51,164
Prompt 6,0.8200000000000001,180.32,39.0,1380000000.0,877000000.0,6667894784.0,0.55,-2208932699000000000,52,165
Prompt 6,0.8200000000000001,180.32,39.0,1380000000.0,877000000.0,6667894784.0,0.55,-2208932699000000000,52,166
Prompt 6,0.8200000000000001,180.32,39.0,1380000000.0,877000000.0,6667894784.0,0.55,-2208932698000000000,52,167
Prompt 6,0.8200000000000001,180.32,39.0,1380000000.0,877000000.0,6667894784.0,0.55,-2208932698000000000,53,168
