GPU Util,Power Draw,GPU Temp,GPU Clock,Mem Used,Mem Util,Time,Time Delta,Iter,Resonse Time,Eval Rate
0.7363636363636363,244.7845454545455,64.0,1392272727.2727273,6810501120.0,0.38818181818181824,-2.2089415410909092e+18,595.9090909090909,6.0,5857559386,103.71103974379186
0.74,244.11000000000004,64.0,1395000000.0,6810501120.0,0.39,-2.2089415352e+18,601.7,5.5,5147762425,102.91713711956486
0.7455555555555555,244.0288888888889,64.11111111111111,1395000000.0,6810501120.0,0.39,-2.2089415296666665e+18,607.1111111111111,5.0,4597957648,102.42634374342062
0.79,243.38000000000002,65.0,1395000000.0,6810501120.0,0.39,-2.2089415258e+18,611.2,3.0,2749486000,102.6068082735044
0.79,243.38,65.0,1395000000.0,6810501120.0,0.39,-2.2089415218888886e+18,615.0,5.0,4469663487,104.09707495656713
0.79,243.38000000000002,65.0,1395000000.0,6810501120.0,0.39000000000000007,-2.208941518e+18,619.0,3.5,2637273250,105.33499281500812
0.7860000000000001,253.016,65.0,1387500000.0,6810501120.0,0.39,-2.2089415131e+18,623.7,5.5,5671022002,104.02020271598772
0.78,267.4700000000001,65.0,1380000000.0,6810501120.0,0.39,-2.2089415070909094e+18,629.7272727272727,6.0,5730545105,102.17142798787467
0.78,267.4700000000001,65.0,1380000000.0,6810501120.0,0.39,-2.2089415012000003e+18,635.7,5.5,5615111405,103.57644179043498
0.39777777777777773,259.2744444444445,64.11111111111111,1380000000.0,6810501120.0,0.17,-2.208941495777778e+18,641.1111111111111,5.0,4922382666,100.816699319639
0.35000000000000003,258.25,64.0,1380000000.0,6810501120.0,0.16999999999999998,-2.208941490272727e+18,646.7272727272727,6.0,5825693623,101.83544957667989
0.5333333333333333,250.02083333333334,64.41666666666667,1380000000.0,6810501120.0,0.2616666666666667,-2.2089414835833334e+18,653.3333333333334,6.5,6236918649,103.59822692442005
0.79,238.5,65.0,1380000000.0,6810501120.0,0.38999999999999996,-2.2089414768333332e+18,660.0,6.5,6267342636,101.85867719012874
0.7900000000000001,238.5,65.0,1381363636.3636363,6810501120.0,0.39,-2.2089414705454546e+18,666.2727272727273,6.0,5739116998,103.8699884912796
0.7699999999999999,254.09000000000003,65.0,1395000000.0,6810501120.0,0.39,-2.2089414644545454e+18,672.4545454545455,6.0,5870183465,103.97370232733036
0.77,254.09,65.0,1395000000.0,6810501120.0,0.39,-2.2089414586666668e+18,678.3333333333334,5.0,5556134075,103.5838917312936
0.77,245.50666666666666,65.0,1395000000.0,6810501120.0,0.39,-2.208941452777778e+18,684.2222222222222,5.0,5374276688,103.75890656384614
0.7700000000000001,238.63999999999993,65.0,1395000000.0,6810501120.0,0.39000000000000007,-2.2089414478571433e+18,689.0,4.0,4119087246,102.39437902939967
0.7700000000000001,238.63999999999993,65.0,1395000000.0,6810501120.0,0.39000000000000007,-2.208941443571428e+18,693.4285714285714,4.0,4260569463,102.25168514701151
0.77,245.38666666666666,65.0,1390000000.0,6810501120.0,0.39,-2.2089414387777777e+18,698.2222222222222,5.0,4693580487,104.21208004439235
0.7699999999999999,258.88000000000005,65.0,1380000000.0,6810501120.0,0.39,-2.208941433090909e+18,703.9090909090909,6.0,6089833513,103.55643912229198
0.7699999999999999,258.88000000000005,65.0,1380000000.0,6810501120.0,0.38999999999999996,-2.208941426666667e+18,710.25,6.5,5996494470,102.07404770431395
