,0,1,2,3,4,5,6,7,8,9,10
93,3.168938010802624e-20,1.1665313523194572e-16,2.8520442097223614e-17,6.383146564616714e-10,3.0831508388259772e-09,9.05410860229321e-21,-1.0,1.001384411413629e-16,1.3581162903439815e-18,4.527054301146605e-19,4.527054301146605e-19
94,3.1689380194639935e-20,1.1665313555078311e-16,2.852044217517594e-17,6.383146582063186e-10,3.0831508472528723e-09,9.054108627039981e-21,-1.0,1.0293389745366077e-16,3.847996166491992e-18,4.52705431351999e-19,4.52705431351999e-19
95,2.693597327671475e-19,1.0808002689102643e-16,2.953902951774181e-17,6.327973133757621e-10,3.083150859989175e-09,1.488269111717643e-19,-1.0,1.0709312904660226e-16,3.847996182387822e-18,4.487924208338738e-19,4.527054332220967e-19
96,3.4858318451798463e-19,1.0522232412664307e-16,2.987855867297011e-17,6.315240810423227e-10,3.0831508682764947e-09,1.8108217377557643e-19,-1.0,1.0966789149283347e-16,1.1317635860973526e-18,4.478894191789524e-19,4.527054344389411e-19
97,3.485831847546929e-19,1.0522232419809514e-16,2.987855869325939e-17,6.315240814711644e-10,3.0831508703701335e-09,1.8108217389854176e-19,-1.0,1.1046012607811046e-16,4.527054347463543e-19,4.478894194830953e-19,4.527054347463543e-19
98,3.4858318504400294e-19,1.0522232428542547e-16,2.9878558718057394e-17,6.315240819953041e-10,3.083150872929025e-09,1.810821740488327e-19,-1.0,1.1129008613417842e-16,1.584469022927286e-18,4.478894198548256e-19,4.527054351220817e-19
99,3.4858318631122883e-19,1.0407409906014463e-16,2.987855882667676e-17,6.253508283351974e-10,3.0831508841373935e-09,1.8108217470713194e-19,-1.0,1.1484313830005717e-16,5.206112522830042e-18,4.435112257696437e-19,4.527054367678297e-19
100,3.485831874373864e-19,1.0395927683522261e-16,2.987855892320455e-17,6.247335047579134e-10,3.0831508940980394e-09,1.8108217529214883e-19,-1.0,1.1800521756538364e-16,9.05410876460744e-19,4.430734076297257e-19,4.52705438230372e-19
101,3.4858318767409467e-19,1.0395927690581701e-16,2.987855894349383e-17,6.247335051821437e-10,3.0831508961916778e-09,1.8108217541511414e-19,-1.0,1.1883517761616865e-16,6.790581578066779e-19,4.430734079305984e-19,4.527054385377853e-19
102,3.470741697289448e-19,1.0756432127151702e-16,2.972765714634876e-17,6.269970327059851e-10,3.083150897820064e-09,1.8108217551075387e-19,-1.0,1.193633340241719e-16,9.054108775537691e-19,4.446787465999895e-19,4.527054387768846e-19
103,3.440561340090887e-19,1.1477441007279508e-16,2.9425853566566795e-17,6.31524088082472e-10,3.083150902647064e-09,1.810821757942572e-19,-1.0,1.208723523426667e-16,2.0371744776853937e-18,4.47889424171966e-19,4.527054394856431e-19
104,3.4405613481087853e-19,1.1477441034026587e-16,2.9425853635140927e-17,6.315240895541784e-10,3.083150909832052e-09,1.8108217621625189e-19,-1.0,1.232593449471987e-16,2.716232643243778e-18,4.478894252157294e-19,4.527054405406296e-19
105,3.4405613539142397e-19,1.147744105339312e-16,2.9425853684792837e-17,6.315240906197847e-10,3.083150915034427e-09,1.810821765218021e-19,-1.0,1.2494670180004344e-16,4.527054413045052e-19,4.478894259714786e-19,4.527054413045052e-19
106,3.4631966309441897e-19,1.130880829271913e-16,2.965220644795353e-17,6.315240915251171e-10,3.0831509194543317e-09,1.7844139503666688e-19,-1.0,1.2634254375851953e-16,2.9425853726976783e-18,4.478894266135582e-19,4.52705441953489e-19
107,3.4858319129644828e-19,1.1140175547302597e-16,2.9878559253981285e-17,6.315240933227862e-10,3.0831509282306953e-09,1.7655512286443486e-19,-1.0,1.2918567148518904e-16,2.716232659452844e-18,4.478894278885009e-19,4.527054432421406e-19
108,3.485831918559406e-19,1.11401755651831e-16,2.9878559301937766e-17,6.315240943364119e-10,3.0831509331792967e-09,1.7655512314781407e-19,-1.0,1.3083187330696993e-16,4.52705443968754e-19,4.478894286073843e-19,4.52705443968754e-19
109,3.4858319219409533e-19,1.1140175575989995e-16,2.987855933092245e-17,6.315240949490427e-10,3.0831509361702093e-09,1.7655512331908726e-19,-1.0,1.3173728432270354e-16,1.8108217776316638e-18,4.478894290418743e-19,4.527054444079159e-19
110,3.4405613814311487e-19,1.0921066153374345e-16,2.972765755008492e-17,6.337876228952115e-10,3.08315093969284e-09,1.765551235208089e-19,-1.0,1.3294449899301938e-16,9.054108898503022e-19,4.494947680107884e-19,4.527054449251511e-19
111,3.3500202975013595e-19,1.0482847298505605e-16,2.942585396453897e-17,6.383146783076915e-10,3.0831509443453705e-09,1.7655512378723381e-19,-1.0,1.3435291613552748e-16,2.263527228041459e-18,4.527054456082918e-19,4.527054456082918e-19
112,3.3500203054978326e-19,1.048284732352808e-16,2.9425854034778256e-17,6.383146798313437e-10,3.0831509517048283e-09,1.7655512420866954e-19,-1.0,1.368405100218709e-16,2.7162326801333773e-18,4.527054466888963e-19,4.527054466888963e-19
113,3.3556791313324804e-19,1.049303322031567e-16,2.94824422837137e-17,6.366170358767354e-10,3.0831509588263723e-09,1.7542336099714486e-19,-1.0,1.3915033699741264e-16,2.0371745148055533e-18,4.515014438842095e-19,4.527054477345673e-19
114,3.3952908620440553e-19,1.0564334340888009e-16,2.987855958598768e-17,6.247335186161061e-10,3.0831509624902402e-09,1.7202807034356545e-19,-1.0,1.403386889644876e-16,4.527054482725407e-19,4.430734174582314e-19,4.527054482725407e-19
